#tail	head	edge_flux
YDR028C	YER129W	3.84916e-06
YDR028C	YDR172W	3.84916e-06
YJL115W	YNL030W	3.84797e-06
YJL115W	YOR038C	3.84797e-06
YJL115W	YJL168C	3.84797e-06
YJL115W	YJR068W	3.84797e-06
YJL115W	YBR009C	3.84797e-06
YJL115W	YPL153C	3.84797e-06
YJL115W	YBR263W	3.84797e-06
YJL115W	YBR010W	3.84797e-06
YJL115W	YNL290W	3.84797e-06
YJL115W	YPL001W	3.84797e-06
YJL115W	YMR127C	3.84797e-06
YJL115W	YJR140C	3.84797e-06
YJL115W	YLL022C	3.84797e-06
YJL115W	YEL056W	3.84797e-06
YJL115W	YER110C	3.84797e-06
YJL115W	YOR213C	3.84797e-06
YJL115W	YLR410W	3.84797e-06
YJL115W	YDR181C	3.84797e-06
YJL115W	YLR399C	3.84797e-06
YJL115W	YBR087W	3.84797e-06
YJL115W	YBR215W	3.84797e-06
YJL115W	YDL070W	3.84797e-06
YJL115W	YOR217W	3.84797e-06
YJL115W	YMR227C	3.84797e-06
YJL115W	YER148W	3.84797e-06
YJL115W	YML102W	3.84797e-06
YJL115W	YGR274C	3.84797e-06
YJL115W	YLL002W	3.84797e-06
YJL115W	YNL031C	3.84797e-06
YJL115W	YOL094C	3.84797e-06
YJL115W	YOR290C	3.84797e-06
YJL115W	YFR037C	3.84797e-06
YJL115W	YBL008W	3.84797e-06
YLR286C	YDR293C	3.84624e-06
YPL077C	YOL045W	3.84613e-06
YPL077C	YNL183C	3.84613e-06
YPL077C	YOL100W	3.84613e-06
YPL077C	YJL006C	3.84613e-06
YPL077C	YHR030C	3.84613e-06
YPL077C	YPR106W	3.84613e-06
YPL077C	YKL139W	3.84613e-06
YPL077C	Induced_..R..s......_No_Phenotype_Exists	3.84613e-06
YKL091C	YNL154C	3.84605e-06
YKL091C	YJL006C	3.84605e-06
YKL091C	YKL168C	3.84605e-06
YKL091C	YDR477W	3.84605e-06
YKL091C	YPL209C	3.84605e-06
YKL091C	YCL024W	3.84605e-06
YKL091C	YLR357W	3.84605e-06
YKL091C	YGR056W	3.84605e-06
YKL091C	YJL141C	3.84605e-06
YFL034CB	YNL272C	3.83767e-06
YFL034CB	YNL161W	3.83767e-06
YFL034CB	YDR122W	3.83767e-06
YFL034CB	YLR096W	3.83767e-06
YFL034CB	YIL106W	3.83767e-06
YFL034CB	YLR131C	3.83767e-06
YPL127C	YPR052C	3.83574e-06
YPL127C	YPL248C	3.83574e-06
YPL127C	YGL097W	3.83574e-06
YPL127C	YML065W	3.83574e-06
YPL127C	YBR089CA	3.83574e-06
YPL127C	YBR010W	3.83574e-06
YPL127C	YDR110W	3.83574e-06
YPL127C	YGL150C	3.83574e-06
YPL127C	YOL012C	3.83574e-06
YLR328W	YDR510W	3.83340e-06
YLR328W	YOL068C	3.83340e-06
YLR328W	YOR209C	3.83340e-06
YLR328W	YDL042C	3.83340e-06
YLR328W	YDR191W	3.83340e-06
YLR328W	YHR074W	3.83340e-06
YLR328W	YOR025W	3.83340e-06
YLR328W	YPL015C	3.83340e-06
YLR328W	YGR010W	3.83340e-06
YBR028C	YNR046W	3.82248e-06
YBR028C	YJR082C	3.82248e-06
YBR028C	YOL041C	3.82248e-06
YBR028C	YBR031W	3.82248e-06
YBR028C	YEL029C	3.82248e-06
YBR028C	YER015W	3.82248e-06
YBR028C	YBR084W	3.82248e-06
YBR028C	YCR016W	3.82248e-06
YML048W	YLR096W	3.80789e-06
YML048W	Induced_..S..s......_No_Phenotype_Exists	3.80789e-06
YML048W	YOR351C	3.80789e-06
YML048W	YBR059C	3.80789e-06
YML048W	YDR477W	3.80789e-06
YML048W	YGL158W	3.80789e-06
YML048W	YKL207W	3.80789e-06
YML048W	YDL025C	3.80789e-06
YML048W	YPR106W	3.80789e-06
YML048W	YGR040W	3.80789e-06
Induced_..R..s......_hog1_Induced_Defective	YMR275C	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YNL224C	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YML101C	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YNL267W	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YGR068C	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YDR348C	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YOR018W	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YDR372C	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YPL180W	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YJL029C	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YOR204W	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YMR261C	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YNL049C	3.80580e-06
Induced_..R..s......_hog1_Induced_Defective	YDR170C	3.80580e-06
