edge	sources	pmids
YGL201C (u) YJL072C	brucki2011	21362622|21868389
YJL072C (u) YGL201C	brucki2011	21362622|21868389
YGL201C (u) YJR046W	liuc2011|wur2012|huol2012|takaratj2011|kawasakiy2006	22045335|16824194|22140117|22421151|22250202
YJR046W (u) YGL201C	liuc2011|wur2012|huol2012|takaratj2011|kawasakiy2006	22045335|16824194|22140117|22421151|22250202
YGL201C (u) YKL108W	brucki2011	21868389
YKL108W (u) YGL201C	brucki2011	21868389
YGL201C (u) YLR002C	huol2012	22421151
YLR002C (u) YGL201C	huol2012	22421151
YGL201C (u) YLR103C	nedelchevamn2005|sheuyj2006|brucki2011	21362622|17018296|15755447
YLR103C (u) YGL201C	nedelchevamn2005|sheuyj2006|brucki2011	21362622|17018296|15755447
YGL201C (u) YML065W	takaratj2011	22045335
YML065W (u) YGL201C	takaratj2011	22045335
YGL201C (u) YML069W	hanj2010	20634314
YML069W (u) YGL201C	hanj2010	20634314
YGL201C (u) YNL273W	nedelchevamn2005	15755447
YNL273W (u) YGL201C	nedelchevamn2005	15755447
YGL201C (u) YOL146W	brucki2011	21362622|21868389
YOL146W (u) YGL201C	brucki2011	21362622|21868389
YGL201C (u) YPR019W	bochmanml2008|vandeursenf2012|wur2012|huol2012|remusd2009|gambusa2009|biswasfissee2005|labibk2001	19661920|22250202|22421151|18662997|11694596|22433841|15723534|19896182
YPR019W (u) YGL201C	bochmanml2008|vandeursenf2012|wur2012|huol2012|remusd2009|gambusa2009|biswasfissee2005|labibk2001	19661920|22250202|22421151|18662997|11694596|22433841|15723534|19896182
YGL205W (u) YJL095W	breitkreutza2010	20489023
YJL095W (u) YGL205W	breitkreutza2010	20489023
YGL206C (u) YGR167W	babum2012|delocheo2001|henrykr2002|krogannj2006|newphertm2006|gavinac2002|gavinac2006|brooksma2010|collinssr2007|hungcw2012	12181333|16870700|16643280|16554755|16429126|20826334|11805826|11179429|22457357|17200106|22940862
YGR167W (u) YGL206C	babum2012|delocheo2001|henrykr2002|krogannj2006|newphertm2006|gavinac2002|gavinac2006|brooksma2010|collinssr2007|hungcw2012	12181333|16870700|16643280|16554755|16429126|20826334|11805826|11179429|22457357|17200106|22940862
YGL206C (u) YGR241C	newphertm2005|wendlandb1998	9531549|15992543
YGR241C (u) YGL206C	newphertm2005|wendlandb1998	9531549|15992543
YGL206C (u) YHR108W	costagutag2001|mullinsc2001|hungcw2012|gavinac2002	11689690|11408593|11805826|22457357
YHR108W (u) YGL206C	costagutag2001|mullinsc2001|hungcw2012|gavinac2002	11689690|11408593|11805826|22457357
YGL206C (u) YHR161C	newphertm2005|wendlandb1998	9531549|15992543
YHR161C (u) YGL206C	newphertm2005|wendlandb1998	9531549|15992543
YGL206C (u) YJL084C	o'donnellaf2010	20739461
