sif_style	Annotation	count	etype	matchType	filenames
YGR048W (u) YPL269W		1.0	ppi		phospho_v4_bgnet_fix
YPL269W (u) YGR048W		1.0	ppi		phospho_v4_bgnet_fix
YJL095W (u) YPL043W		1.0	ppi		phospho_v4_bgnet_fix
YPL043W (u) YJL095W		1.0	ppi		phospho_v4_bgnet_fix
YIL106W (u) YLR180W		1.0	ppi		phospho_v4_bgnet_fix
YLR180W (u) YIL106W		1.0	ppi		phospho_v4_bgnet_fix
YGR099W (u) YJR136C		1.0	ppi		phospho_v4_bgnet_fix
YJR136C (u) YGR099W		1.0	ppi		phospho_v4_bgnet_fix
YDR510W (u) YER041W		1.0	ppi		phospho_v4_bgnet_fix
YER041W (u) YDR510W		1.0	ppi		phospho_v4_bgnet_fix
YDR381W (u) YER165W		1.0	ppi		phospho_v4_bgnet_fix
YER165W (u) YDR381W		1.0	ppi		phospho_v4_bgnet_fix
NPR76 (d) YKL146W		1.0		Constituent	NaCl_module_edges
YFR028C (u) YIL159W		1.0	ppi		phospho_v4_bgnet_fix
YIL159W (u) YFR028C		1.0	ppi		phospho_v4_bgnet_fix
YDL181W (u) YPL271W		1.0	ppi		phospho_v4_bgnet_fix
YPL271W (u) YDL181W		1.0	ppi		phospho_v4_bgnet_fix
YOR190W (d) YMR011W		1.0	metabolic_pathway		phospho_v4_bgnet_fix
YGL097W (u) YHR088W		1.0	ppi		phospho_v4_bgnet_fix
YHR088W (u) YGL097W		1.0	ppi		phospho_v4_bgnet_fix
YIL115C (u) YJR132W		1.0	ppi		phospho_v4_bgnet_fix
YJR132W (u) YIL115C		1.0	ppi		phospho_v4_bgnet_fix
YOR334W (u) YPL060W		1.0	ppi		phospho_v4_bgnet_fix
YPL060W (u) YOR334W		1.0	ppi		phospho_v4_bgnet_fix
YHR165C (u) YLR424W		1.0	ppi		phospho_v4_bgnet_fix
YLR424W (u) YHR165C		1.0	ppi		phospho_v4_bgnet_fix
YDR303C (u) YFR037C		1.0	ppi		phospho_v4_bgnet_fix
YFR037C (u) YDR303C		1.0	ppi		phospho_v4_bgnet_fix
YBL008W (u) YJR140C		1.0	ppi		phospho_v4_bgnet_fix
YJR140C (u) YBL008W		1.0	ppi		phospho_v4_bgnet_fix
YDR328C (u) YLR097C		1.0	ppi		phospho_v4_bgnet_fix
YLR097C (u) YDR328C		1.0	ppi		phospho_v4_bgnet_fix
YER059W (u) YLR079W		1.0	ppi		phospho_v4_bgnet_fix
YLR079W (u) YER059W		1.0	ppi		phospho_v4_bgnet_fix
YPR120C (d) YHR118C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YER172C (u) YNR053C		1.0	ppi		phospho_v4_bgnet_fix
YNR053C (u) YER172C		1.0	ppi		phospho_v4_bgnet_fix
YDR427W (u) YOR261C		1.0	ppi		phospho_v4_bgnet_fix
YOR261C (u) YDR427W		1.0	ppi		phospho_v4_bgnet_fix
YBL016W (d) YOL130W		1.0	kinase_substrate		phospho_v4_bgnet_fix
YNL107W (u) YPL235W		1.0	ppi		phospho_v4_bgnet_fix
YPL235W (u) YNL107W		1.0	ppi		phospho_v4_bgnet_fix
YBR028C (u) YOL041C		1.0	ppi		phospho_v4_bgnet_fix
YOL041C (u) YBR028C		1.0	ppi		phospho_v4_bgnet_fix
YGL099W (u) YPL169C		1.0	ppi		phospho_v4_bgnet_fix
YPL169C (u) YGL099W		1.0	ppi		phospho_v4_bgnet_fix
YBR160W (d) YDR134C		1.0	kinase_substrate		phospho_v4_bgnet_fix
YAR007C (u) YDR510W		1.0	ppi		phospho_v4_bgnet_fix
YDR510W (u) YAR007C		1.0	ppi		phospho_v4_bgnet_fix
Q0105 (u) YDR529C		1.0	ppi		phospho_v4_bgnet_fix
YDR529C (u) Q0105		1.0	ppi		phospho_v4_bgnet_fix
YDL247W (d) YJL216C		1.0	metabolic_pathway		phospho_v4_bgnet_fix
YGR128C (u) YLR409C		1.0	ppi		phospho_v4_bgnet_fix
YLR409C (u) YGR128C		1.0	ppi		phospho_v4_bgnet_fix
YER032W (u) YKR002W		1.0	ppi		phospho_v4_bgnet_fix
YKR002W (u) YER032W		1.0	ppi		phospho_v4_bgnet_fix
YDR171W (u) YOR007C		1.0	ppi		phospho_v4_bgnet_fix
YOR007C (u) YDR171W		1.0	ppi		phospho_v4_bgnet_fix
YGL031C (u) YPL093W		1.0	ppi		phospho_v4_bgnet_fix
YPL093W (u) YGL031C		1.0	ppi		phospho_v4_bgnet_fix
YGL210W (u) YMR291W		1.0	ppi		phospho_v4_bgnet_fix
